Designator,Mid X,Mid Y,Rotation,Layer,Comment
R7,42.23mm,84.93mm,90,T,100k
R70,14.29mm,33.18mm,0,T,1.0M
R71,10mm,33.18mm,180,T,1.0M
R72,34.61mm,33.18mm,180,T,1.0M
R73,38.89mm,33.18mm,0,T,1.0M
R74,11.59mm,32.86mm,270,T,1.0M
R75,12.7mm,32.86mm,270,T,1.0M
R76,36.19mm,32.86mm,270,T,1.0M
R77,37.31mm,32.86mm,270,T,1.0M
R78,14.92mm,31.27mm,0,T,24.9k
R79,34.13mm,31.27mm,180,T,24.9k
R8,29.84mm,84.93mm,90,T,100k
R80,9.53mm,31.27mm,180,T,24.9k
R81,39.53mm,31.27mm,0,T,24.9k
R82,35.24mm,22.7mm,90,T,1.0M
R83,36.35mm,22.7mm,90,T,1.0M
R84,37.47mm,22.7mm,90,T,1.0M
R85,38.58mm,22.7mm,90,T,1.0M
R86,10.64mm,22.7mm,90,T,1.0M
R87,11.75mm,22.7mm,90,T,1.0M
R88,12.86mm,22.7mm,90,T,1.0M
R89,13.97mm,22.7mm,90,T,1.0M
R9,5.24mm,84.93mm,90,T,100k
R90,46.36mm,16.51mm,90,T,1.2k
R91,10.16mm,8.89mm,270,T,1.2k
R92,22.23mm,8.89mm,270,T,1.2k
R93,34.29mm,8.89mm,270,T,1.2k
R94,22.23mm,2.7mm,90,T,510
R95,46.36mm,2.7mm,90,T,510
R96,2.54mm,2.7mm,90,T,510
R97,26.67mm,2.7mm,90,T,510
